,word1,word2,prediction
0,abandon,frost,-0.0006972009432502091
1,abandon,railroad,-0.0009443218004889786
2,abortion,religion,-0.0006342186825349927
3,abstract,candle,-0.0010901469504460692
4,abstract,frog,-0.0015589246759191155
5,abstract,moon,-0.0010335234692320228
6,abstract,rally,-0.0011149793863296509
7,abuse,abuse,-0.0
8,abuse,disorder,-0.0005579641438089311
9,accommodate,adjust,-0.0006527210935018957
10,accommodation,accommodation,-0.0
11,accompany,walking,-0.0007401251350529492
12,account,explanation,-0.0009504000190645456
13,account,invoice,-0.0025495062582194805
14,act,improvement,-0.0007324103498831391
15,action,adjustment,-0.0007393033592961729
16,action,entrance,-0.0008408705471083522
17,activity,solo,-0.0008530408376827836
18,activity,variation,-0.0006626987596973777
19,actor,amateur,-0.000678494106978178
20,ad,track,-0.0008450719178654253
21,add,increased,-0.0017885365523397923
22,add,string,-0.0008102133288048208
23,addition,segment,-0.0006906717899255455
24,admitting,confess,-0.0007078251801431179
25,adult,dentist,-0.000749483413528651
26,advance,advance,-0.0
27,advance,string,-0.0008989935158751905
28,advice,recommendation,-0.0007099168142303824
29,advised,murder,-0.0007608954911120236
30,aerial,clown,-0.0010385296773165464
31,africa,territory,-0.0007876933668740094
32,age,history,-0.000639664416667074
33,agency,police,-0.0007116086198948324
34,aim,intending,-0.0010050444398075342
35,air,cold,-0.0014937510713934898
36,air,plasma,-0.0007225304143503308
37,air,satellite,-0.0005707981763407588
38,aircraft,fleet,-0.0012425045715644956
39,aircraft,flight,-0.0003731683536898345
40,aircraft,yacht,-0.0014900077367201447
41,airplane,plane,-0.0009961712639778852
42,ale,bitter,-0.0005665533826686442
43,alley,street,-0.0003587761602830142
44,aluminum,component,-0.0008114883676171303
45,aluminum,imperative,-0.0015475519467145205
46,american,lobster,-0.0006202753866091371
47,ammunition,intolerable,-0.0023652203381061554
48,amount,number,-0.0006594762671738863
49,amounted,make,-0.000565340684261173
50,amusement,athletics,-0.0008306727977469563
51,amusement,procedure,-0.001207149587571621
52,anatomy,palm,-0.0007559997611679137
53,ancient,city,-0.0010199802927672863
54,angel,asphalt,-0.0010948190465569496
55,angel,pod,-0.0008501394186168909
56,angrier,stormy,-0.0023772427812218666
57,animal,asia,-0.0010695066303014755
58,animal,flora,-0.0006803835858590901
59,animal,giraffe,-0.0030428534373641014
60,animal,mural,-0.0009927747305482626
61,animal,wild,-0.0004517077759373933
62,animal,worm,-0.0006900139269419014
63,animal,zoo,-0.00045799737563356757
64,anniversary,marriage,-0.0012427051551640034
65,answering,counter,-0.0009465923067182302
66,anxiety,insecurities,-0.0028859879821538925
67,apartment,staircase,-0.0007192496559582651
68,appliance,dryer,-0.0011922488920390606
69,appreciate,see,-0.0009018375421874225
70,approach,avenue,-0.0011986667523160577
71,approach,merit,-0.0010342448949813843
72,approach,trench,-0.0008938044193200767
73,approval,encouragement,-0.0006570146069861948
74,approving,interaction,-0.0016372890677303076
75,aquarium,coin,-0.0008666179492138326
76,arch,brick,-0.0006954873679205775
77,arch,roof,-0.0008062582928687334
78,architecture,urban,-0.0008211187669076025
79,area,space,-0.0015915462281554937
80,argument,evidence,-0.0008918463718146086
81,arm,bicycle,-0.0007761367596685886
82,arm,television,-0.0007614778587594628
83,arrange,discard,-0.0021583191119134426
84,arrange,study,-0.0009514154517091811
85,arrangement,blizzard,-0.000989181105978787
86,arrangement,room,-0.0008112912182696164
87,art,craft,-0.0009625926031731069
88,art,gem,-0.0010547712445259094
89,art,museum,-0.0006710429443046451
90,art,painting,-0.0005224118940532207
91,article,cup,-0.0007450366392731667
92,article,girl,-0.0008533549844287336
93,ash,bone,-0.0006094583659432828
94,ash,coil,-0.0017163673182949424
95,asphalt,crane,-0.0006017168052494526
96,asphalt,water,-0.0008409757283516228
97,assets,exclude,-0.0007542644161731005
98,association,organization,-0.00047776452265679836
99,association,realtor,-0.001909061218611896
100,asylum,dollar,-0.0008238050504587591
101,asylum,shelter,-0.0006270240410231054
102,athletics,racing,-0.0006768577732145786
103,athletics,swimming,-0.0007231615600176156
104,attempt,give,-0.0006578720058314502
105,attempt,initiate,-0.0006986350053921342
106,attitude,notice,-0.0008212995016947389
107,attitude,study,-0.000983918784186244
108,attorney,lawyer,-0.00109203124884516
109,auto,bright,-0.002047700807452202
110,automobile,fabric,-0.000580285326577723
111,automobile,racing,-0.0007112677558325231
112,autumn,foliage,-0.0006569981342181563
113,autumn,hat,-0.0006631751311942935
114,autumn,sunshine,-0.0005670250975526869
115,autumn,winter,-0.000426554266596213
116,award,citation,-0.0005640179151669145
117,baby,treat,-0.0005513235810212791
118,back,lumbar,-0.002912757219746709
119,back,shifting,-0.0006708930595777929
120,bacon,bread,-0.0006131664267741144
121,bacon,pepper,-0.0006236590561456978
122,bacon,salad,-0.0007473315927200019
123,bacon,tomato,-0.000572296732570976
124,bacon,wild,-0.0006631381693296134
125,bag,cop,-0.0007813587435521185
126,bag,flag,-0.0007310285000130534
127,bakery,cake,-0.0005700215115211904
128,bakery,vehicle,-0.0012131562689319253
129,balance,gauge,-0.0012148782843723893
130,banana,salad,-0.000613691343460232
131,band,guitar,-0.00044324444024823606
132,band,metal,-0.0006366258021444082
133,band,play,-0.0006834532832726836
134,band,uniform,-0.0007554420153610408
135,band,vinyl,-0.0008059059618972242
136,bank,smell,-0.0006805579178035259
137,bankruptcy,enterprise,-0.0007663025753572583
138,bar,diner,-0.0005505873705260456
139,bar,ship,-0.0009080813615582883
140,bar,stair,-0.0007585101993754506
141,bar,sushi,-0.0020517688244581223
142,barn,food,-0.0010743163293227553
143,barrel,gallon,-0.0007373659173026681
144,base,club,-0.0008187593193724751
145,baseball,born,-0.0006932140095159411
146,baseball,cactus,-0.0006830322672612965
147,baseball,game,-0.0010539990616962314
148,baseball,hockey,-0.0003711538447532803
149,baseball,season,-0.0005621827440336347
150,basket,dinner,-0.0007313672685995698
151,basketball,lesson,-0.0009344365680590272
152,basketball,squash,-0.0007857710006646812
153,bat,bats,-0.000373616989236325
154,bath,bedroom,-0.0006629368290305138
155,bath,floor,-0.0007395641878247261
156,bath,hot,-0.0008818103233352304
157,bath,sleep,-0.0007140901288948953
158,bathroom,chamber,-0.0007535095210187137
159,bay,curve,-0.001742691732943058
160,bay,harbour,-0.0009054065449163318
161,beach,cliff,-0.0005249775713309646
162,beach,pebble,-0.0025100072380155325
163,bead,chess,-0.0016639180248603225
164,bead,gold,-0.0018458314007148147
165,bead,redhead,-0.0020652255043387413
166,beam,column,-0.001140704844146967
167,beard,hair,-0.0007962107774801552
168,beat,meter,-0.0007659641560167074
169,bed,candy,-0.0008666013600304723
170,bed,floor,-0.0005531890783458948
171,bed,furniture,-0.0006551293772645295
172,bed,layer,-0.0008056448423303664
173,bed,pillow,-0.0005942354327999055
174,bed,relax,-0.0009775168728083372
175,bed,sitting,-0.000891751900780946
176,bed,staircase,-0.0006998806493356824
177,bedroom,canyon,-0.0006505126948468387
178,bedroom,ceiling,-0.0012625922681763768
179,bedroom,cell,-0.0011741520138457417
180,bedroom,construction,-0.000897033023647964
181,bedroom,door,-0.0013234498910605907
182,bedroom,downtown,-0.0008594223763793707
183,bedroom,room,-0.0006361088599078357
184,bedroom,stair,-0.0010209527099505067
185,bedroom,staircase,-0.000796980457380414
186,beef,chicken,-0.0004034082521684468
187,beef,lamb,-0.0005797588964924216
188,beef,pepper,-0.0004835446015931666
189,beef,potato,-0.000426862679887563
190,beer,patio,-0.0006764638237655163
191,beer,wild,-0.0007696424727328122
192,being,characters,-0.0017466507852077484
193,believe,week,-0.0012795989168807864
194,belly,black,-0.0006374576478265226
195,belly,dance,-0.0011886601569131017
196,belly,dark,-0.0007946948171593249
197,belly,field,-0.001236804760992527
198,belly,stripe,-0.0006302505498751998
199,bench,game,-0.0009368032915517688
200,benefited,get,-0.0005514678778126836
201,bent,double,-0.0012809173204004765
202,bent,inclination,-0.0006610248237848282
203,berlin,germany,-0.0007530268630944192
204,berry,blossom,-0.0005344272940419614
205,berry,bright,-0.000700978736858815
206,berry,dessert,-0.0006435671239160001
207,berry,ivy,-0.0005159111460670829
208,berry,raspberry,-0.0030314286705106497
209,berry,seed,-0.0006392814102582633
210,berry,sweet,-0.0005603444878943264
211,bias,prejudice,-0.0011382314842194319
212,bible,misty,-0.0010015482548624277
213,bicycle,green,-0.0008833892061375082
214,bigger,large,-0.0004570357268676162
215,bike,chopper,-0.0006154250004328787
216,bikini,ivy,-0.0010807330254465342
217,bin,cup,-0.0007345564081333578
218,bird,cock,-0.0006266161217354238
219,bird,dragonfly,-0.0024555870331823826
220,bird,flamingo,-0.002062831539660692
221,bird,goose,-0.0005416655330918729
222,bird,insect,-0.0004559119406621903
223,bird,reptile,-0.002487604273483157
224,bird,shade,-0.0007709243800491095
225,bird,solid,-0.0007779553416185081
226,bishop,priest,-0.00038198879337869585
227,bishop,radical,-0.0009087398066185415
228,bishop,wine,-0.0009020426077768207
229,bit,curb,-0.000832011632155627
230,bit,tool,-0.0007085068500600755
231,bitter,taste,-0.0010533431777730584
232,black,blue,-0.00042505760211497545
233,black,bright,-0.0004784308548551053
234,black,brown,-0.0003967545635532588
235,black,cigarette,-0.0006502622272819281
236,black,juvenile,-0.0005861393292434514
237,black,skirt,-0.0007085191900841892
238,black,white,-0.0003213112649973482
239,blast,smashing,-0.0010706715984269977
240,blaze,pig,-0.000728598446585238
241,blessing,patronage,-0.0006603061337955296
242,blizzard,rash,-0.0008227941580116749
243,block,hinder,-0.0013323923340067267
244,blonde,haircut,-0.00208525569178164
245,blonde,wig,-0.0005930431070737541
246,bloom,flower,-0.0006690880400128663
247,bloom,friend,-0.0007305854232981801
248,bloom,plant,-0.0005563783342950046
249,bloom,purple,-0.0005327731487341225
250,blossom,bud,-0.00047951171291060746
251,blossom,cherry,-0.0008207203354686499
252,blossom,daisy,-0.0005648484802804887
253,blossom,foliage,-0.0005739558837376535
254,blossom,orange,-0.0006685010157525539
255,blossom,petal,-0.0022152240853756666
256,blossom,purple,-0.0006199968047440052
257,blow,contact,-0.0007782730390317738
258,blow,swat,-0.0006640031933784485
259,blowing,smoking,-0.0005904525751248002
260,blue,colour,-0.00110405043233186
261,blue,happy,-0.0005669585079886019
262,blue,report,-0.0010567239951342344
263,blue,shade,-0.0006177703617140651
264,blue,skirt,-0.0007521857041865587
265,blues,rhythm,-0.0005181125598028302
266,blur,focus,-0.0008037263178266585
267,blur,metro,-0.0007675914675928652
268,board,deal,-0.0006824152660556138
269,boardwalk,park,-0.0006528847734443843
270,boast,complain,-0.0020748209208250046
271,boat,negro,-0.0007399749010801315
272,boat,shore,-0.0007005322840996087
273,bold,forward,-0.0010696485405787826
274,bold,leader,-0.000770135666243732
275,bone,skull,-0.0005999153945595026
276,book,building,-0.0007222113781608641
277,book,smoking,-0.0010114843025803566
278,booklet,reference,-0.0008572671213187277
279,boot,kick,-0.0010133208706974983
280,boot,punch,-0.0010925790993496776
281,bootleg,produce,-0.0025775746908038855
282,bootleg,whiskey,-0.0026601466815918684
283,born,construction,-0.0007711381767876446
284,born,mother,-0.0006500119343400002
285,born,subway,-0.0007283950108103454
286,bottle,wine,-0.0006286390125751495
287,bound,line,-0.0008848863653838634
288,bound,skirt,-0.0012052208185195923
289,bowling,wheel,-0.0010667982278391719
290,boxer,stair,-0.0008913942729122937
291,boxing,hit,-0.0007706958567723632
292,boy,hand,-0.0006374265649355948
293,boy,live,-0.0012824238510802388
294,bracelet,jewelry,-0.0004937805933877826
295,bracelet,mountain,-0.0007197319064289331
296,brain,head,-0.0010322266025468707
297,brake,click,-0.0010446410160511732
298,branch,tea,-0.0009024530882015824
299,brass,executive,-0.0009782480774447322
300,brazil,nut,-0.0014610403450205922
301,brazil,triple,-0.001307235797867179
302,bread,bun,-0.0006544236093759537
303,bread,cooking,-0.0005402801907621324
304,bread,cover,-0.0009220482897944748
305,bread,dessert,-0.0006036873091943562
306,bread,egg,-0.0006488840444944799
307,bread,medicine,-0.0007627200102433562
308,break,glittering,-0.000959067780058831
309,break,scattered,-0.0008678598096594214
310,breakfast,diner,-0.000600043626036495
311,breakfast,evening,-0.0005960915586911142
312,breakfast,lunch,-0.0006148539832793176
313,breakfast,makeup,-0.0008171859662979841
314,breakfast,morning,-0.0008176527917385101
315,breakfast,people,-0.0008776113972999156
316,breakfast,relax,-0.0008124525775201619
317,brick,cement,-0.0007094510365277529
318,brick,construction,-0.0007580167730338871
319,brick,skyscraper,-0.0009104736964218318
320,bride,photographer,-0.0008002436952665448
321,bright,dark,-0.000535441969987005
322,bright,fruit,-0.0007240231498144567
323,bright,mist,-0.0006936960271559656
324,bright,raspberry,-0.0029843645170331
325,bright,shade,-0.0006030178628861904
326,bright,sky,-0.0008450756431557238
327,bring,presenting,-0.0008184243342839181
328,bring,return,-0.0006613433361053467
329,broadcast,packet,-0.0007193073979578912
330,bronze,sculpture,-0.0007640267140232027
331,bronze,suspicion,-0.0008685443899594247
332,brown,green,-0.0005037953378632665
333,brown,hawk,-0.001082632807083428
334,brown,purple,-0.0004352730175014585
335,brown,white,-0.0003354526124894619
336,brussels,sweden,-0.0006082533509470522
337,bucket,water,-0.0007137431530281901
338,bud,flower,-0.0007793068652972579
339,bud,ivy,-0.0005295122973620892
340,budget,fund,-0.0009802267886698246
341,budget,scale,-0.000856658152770251
342,bug,insect,-0.0009704203112050891
343,building,cafe,-0.0008093176293186843
344,building,construction,-0.00043593431473709643
345,building,downtown,-0.000564208603464067
346,building,floor,-0.0005687666707672179
347,building,ministry,-0.0007150454912334681
348,building,tall,-0.0010124314576387405
349,building,zombie,-0.0009646833059377968
350,burger,cooking,-0.0005918576498515904
351,burger,dessert,-0.0005162627203390002
352,burger,salad,-0.0005704788491129875
353,burger,soup,-0.0005591537919826806
354,burn,fire,-0.0007872703718021512
355,burn,ripple,-0.0007725754985585809
356,bus,rail,-0.000747787591535598
357,business,railway,-0.000880939478520304
358,butter,stick,-0.0010919853812083602
359,butterfly,caterpillar,-0.0027351011522114277
360,butterfly,dragonfly,-0.0022356987465173006
361,butterfly,glittering,-0.00067663419758901
362,button,sticker,-0.0015891712391749024
363,cafe,child,-0.0007697473047301173
364,cafe,coffee,-0.0007354342960752547
365,cafe,dinner,-0.0006097473669797182
366,cafe,donut,-0.002039490267634392
367,cafe,lunch,-0.0007872768910601735
368,cafe,pub,-0.0006516689900308847
369,cafe,reflection,-0.0015053879469633102
370,cafe,relax,-0.0007470217533409595
371,cafe,shop,-0.0006972196279093623
372,cafe,spiral,-0.0008736061281524599
373,cake,christmas,-0.0009815848898142576
374,call,meeting,-0.0011440978851169348
375,call,statement,-0.000768422381952405
376,call,telephone,-0.0008273339481092989
377,camel,desert,-0.0005522420979104936
378,camp,camp,-0.0
379,campaign,conspiracy,-0.0005830053123645484
380,can,sketch,-0.0008849889854900539
381,candidate,republic,-0.0007353750406764448
382,canine,dog,-0.0005590456421487033
383,canyon,landscape,-0.0009408434852957726
384,canyon,river,-0.0004509854188654572
385,car,insurance,-0.0008642175234854221
386,car,pig,-0.001192212221212685
387,car,skull,-0.001190596492961049
388,card,playing,-0.0013619705568999052
389,card,see,-0.0018914854153990746
390,carrier,carrier,-0.0
391,carrier,traveler,-0.0010630822507664561
392,carrier,vehicle,-0.0006639243219979107
393,carrot,memorial,-0.0015732781030237675
394,carrot,salad,-0.0008335678721778095
395,cart,wagon,-0.0007116449414752424
396,cartoon,wit,-0.0011374949244782329
397,case,clients,-0.0007775321719236672
398,cast,cast,-0.0
399,cast,shoot,-0.0006211306899785995
400,castle,patio,-0.0007679059053771198
401,castle,ruin,-0.0005628103972412646
402,cat,garden,-0.0007509589777328074
403,catch,catching,-0.0005524782463908195
404,catch,hooks,-0.0006326183793134987
405,catching,perceive,-0.0010585677810013294
406,catching,playing,-0.0007858098251745105
407,category,flavor,-0.0009138569002971053
408,catering,loan,-0.0008214173140004277
409,caterpillar,paint,-0.00233695306815207
410,cathedral,step,-0.0006751802284270525
411,cattle,goat,-0.0007612566114403307
412,cattle,web,-0.0011847231071442366
413,cautious,film,-0.0013629127060994506
414,ceiling,marble,-0.0005474681383930147
415,ceiling,mug,-0.0014659696025773883
416,ceiling,room,-0.0008231232059188187
417,ceiling,staircase,-0.0007397816516458988
418,ceiling,wall,-0.0005511521594598889
419,cell,membrane,-0.00034145271638408303
420,cemetery,grave,-0.0005287782405503094
421,cemetery,memorial,-0.0004921772051602602
422,center,center,-0.0
423,center,refer,-0.0008487419108860195
424,century,period,-0.0006358067621476948
425,century,temperature,-0.0009501359891146421
426,ceramic,floor,-0.0007348121143877506
427,chance,fortune,-0.0007716866675764322
428,chance,opportunity,-0.0006924478802829981
429,chance,ring,-0.0012872277293354273
430,change,laundering,-0.0007925567915663123
431,change,transforming,-0.0006183800869621336
432,change,yielding,-0.0007753011886961758
433,channel,sound,-0.0007165499264374375
434,chaos,death,-0.0011984837474301457
435,chapel,porch,-0.0008936218800954521
436,chapel,ruin,-0.0015526878414675593
437,charcoal,fuel,-0.0012825867161154747
438,charge,damage,-0.0007185403374023736
439,charge,sentence,-0.0007902065990492702
440,checked,checked,-0.0
441,cheer,musician,-0.0015187326353043318
442,cheese,food,-0.0006713744369335473
443,cheetah,flame,-0.0027397330850362778
444,chemical,intermediate,-0.0007865282241255045
445,chemistry,patient,-0.0007195624057203531
446,cherry,fruit,-0.0006384627195075154
447,cherry,grape,-0.0006404442829079926
448,cherry,lamb,-0.0007241965504363179
449,cherry,meat,-0.0008767129038460553
450,cherry,orange,-0.0005986887263134122
451,cherry,raspberry,-0.0026811507996171713
452,chess,family,-0.0010908149415627122
453,chess,toy,-0.0010286638280376792
454,chicken,lamb,-0.0006127131637185812
455,chicken,poultry,-0.0006241291994228959
456,chief,guru,-0.000623188738245517
457,child,lad,-0.0007184118148870766
458,child,street,-0.0007085084798745811
459,chile,plate,-0.0011546490713953972
460,chocolate,rock,-0.0007654278306290507
461,choice,option,-0.001220528269186616
462,chopper,poppy,-0.0010053820442408323
463,chord,play,-0.0008333260775543749
464,christmas,valentine,-0.001035584369674325
465,church,porch,-0.0005479209357872605
466,church,temple,-0.0005559918936342001
467,circle,oval,-0.0005746769602410495
468,circle,sport,-0.0013270147610455751
469,city,round,-0.0009112516418099403
470,city,ruin,-0.0007094148313626647
471,city,sidewalk,-0.0007192321354523301
472,city,square,-0.001126390416175127
473,city,urban,-0.0010420706821605563
474,class,sex,-0.0009195037418976426
475,cliff,coast,-0.0005064667784608901
476,cliff,harbour,-0.0008809426217339933
477,cliff,waterfall,-0.0005173907265998423
478,clinic,session,-0.0009627804975025356
479,clock,timer,-0.0007994860061444342
480,close,short,-0.0005396944470703602
481,closed,closed,-0.0
482,closed,state,-0.0013594790361821651
483,closed,up,-0.0004968642606399953
484,closing,closing,-0.0
485,closing,finale,-0.0009029657812789083
486,clothes,short,-0.0010636785300448537
487,cloud,energy,-0.0005681398906745017
488,club,hockey,-0.0006144955405034125
489,club,shirt,-0.0006646183901466429
490,clubhouse,pop,-0.001423413516022265
491,clue,parish,-0.0007628134335391223
492,coast,scenery,-0.000987704610452056
493,coast,sunk,-0.0006921406602486968
494,coast,zebra,-0.0006928978255018592
495,coat,resurfacing,-0.0032105413265526295
496,coat,roof,-0.0010768809588626027
497,cock,penis,-0.0005344178061932325
498,cocktail,garage,-0.0007193545461632311
499,cocktail,restaurant,-0.00046697381185367703
